,short_name,long_name,age,overall,nationality,club,wage_eur,contract_valid_until,Cluster
85,Bruno Fernandes,Bruno Miguel Borges Fernandes,24,85,Portugal,Sporting CP,24000,2023.0,949
86,A. Lopes,Anthony Lopes,28,85,Portugal,Olympique Lyonnais,88000,2020.0,280
87,P. Gulácsi,Péter Gulácsi,29,85,Hungary,RB Leipzig,69000,2022.0,462
88,R. Bürki,Roman Bürki,28,85,Switzerland,Borussia Dortmund,92000,2021.0,462
89,R. Lukaku,Romelu Lukaku,26,85,Belgium,Inter,115000,2024.0,701
90,K. Manolas,Kostas Manolas,28,85,Greece,Napoli,105000,2022.0,697
91,Neto,Norberto Murara Neto,29,85,Brazil,FC Barcelona,175000,2023.0,462
92,D. Alaba,David Olatukunbo Alaba,27,85,Austria,FC Bayern München,135000,2021.0,292
93,M. Icardi,Mauro Emanuel Icardi Rivero,26,85,Argentina,Inter,115000,2021.0,826
94,Carvajal,Daniel Carvajal Ramos,27,85,Spain,Real Madrid,205000,2022.0,912
95,H. Ziyech,Hakim Ziyech,26,85,Morocco,Ajax,39000,2022.0,868
96,Z. Ibrahimović,Zlatan Ibrahimović,37,85,Sweden,LA Galaxy,15000,2019.0,187
97,A. Gómez,Alejandro Darío Gómez,31,85,Argentina,Atalanta,92000,2022.0,334
98,G. Higuaín,Gonzalo Gerardo Higuaín,31,85,Argentina,Juventus,175000,2021.0,534
99,B. Matuidi,Blaise Matuidi,32,85,France,Juventus,145000,2020.0,658
100,G. Bale,Gareth Frank Bale,29,85,Wales,Real Madrid,250000,2022.0,478
101,Marcelo,Marcelo Vieira da Silva Júnior,31,85,Brazil,Real Madrid,205000,2022.0,351
102,A. Witsel,Axel  Witsel,30,85,Belgium,Borussia Dortmund,110000,2022.0,86
103,Alex Sandro,Alex Sandro Lobo Silva,28,85,Brazil,Juventus,155000,2020.0,478
104,Iago Aspas,Iago Aspas Juncal,31,85,Spain,RC Celta,49000,2023.0,868
105,Koke,Jorge Resurrección Merodio,27,85,Spain,Atlético Madrid,88000,2024.0,949
106,J. Rodríguez,James David Rodríguez Rubio,27,85,Colombia,Real Madrid,225000,2020.0,375
107,Allan,Allan Marques Loureiro,28,85,Brazil,Napoli,110000,2023.0,86
108,J. Sancho,Jadon Sancho,19,84,England,Borussia Dortmund,61000,2022.0,616
109,K. Havertz,Kai Havertz,20,84,Germany,Bayer 04 Leverkusen,70000,2022.0,942
110,O. Dembélé,Ousmane Dembélé,22,84,France,FC Barcelona,195000,2022.0,276
111,Kepa,Kepa Arrizabalaga,24,84,Spain,Chelsea,92000,2024.0,327
112,João Cancelo,João Pedro Cavaco Cancelo,25,84,Portugal,Manchester City,150000,2025.0,912
113,D. Alli,Bamidele Alli,23,84,England,Tottenham Hotspur,115000,2024.0,438
114,L. Hernández,Lucas Hernández,23,84,France,FC Bayern München,110000,2024.0,482
115,Arthur,Arthur Henrique Ramos Oliveira Melo,22,84,Brazil,FC Barcelona,180000,2024.0,86
116,M. Depay,Memphis Depay,25,84,Netherlands,Olympique Lyonnais,110000,2021.0,512
117,L. Goretzka,Leon Goretzka,24,84,Germany,FC Bayern München,120000,2022.0,438
118,J. Brandt,Julian Brandt,23,84,Germany,Borussia Dortmund,94000,2024.0,616
119,K. Coman,Kingsley Coman,23,84,France,FC Bayern München,120000,2023.0,139
120,S. Gnabry,Serge Gnabry,23,84,Germany,FC Bayern München,120000,2023.0,314
121,N. Fekir,Nabil Fekir,25,84,France,Real Betis,40000,2023.0,160
122,B. Leno,Bernd Leno,27,84,Germany,Arsenal,91000,2023.0,806
123,Luis Alberto,Luis Alberto Romero Alconchel,26,84,Spain,Lazio,78000,2022.0,616
124,Alex Telles,Alex Nicolao Telles,26,84,Brazil,FC Porto,23000,2021.0,482
125,J. Pavlenka,Jiří Pavlenka,27,84,Czech Republic,SV Werder Bremen,37000,2021.0,245
126,S. de Vrij,Stefan de Vrij,27,84,Netherlands,Inter,88000,2023.0,582
127,Felipe Anderson,Felipe  Anderson Pereira Gomes,26,84,Brazil,West Ham United,125000,2022.0,136
128,Pepe,Képler Laveran Lima Ferreira,36,84,Portugal,FC Porto,16000,2021.0,582
129,João Moutinho,João Filipe Iria Santos Moutinho,32,84,Portugal,Wolverhampton Wanderers,125000,2020.0,949
130,S. Ruffier,Stéphane Ruffier,32,84,France,AS Saint-Étienne,41000,2021.0,806
131,S. Sirigu,Salvatore Sirigu,32,84,Italy,Torino,54000,2022.0,462
132,M. Hamšík,Marek Hamšík,31,84,Slovakia,Dalian YiFang FC,26000,2021.0,949
133,Sokratis,Sokratis Papastathopoulos,31,84,Greece,Arsenal,115000,2021.0,274
134,Lucas Leiva,Lucas  Pezzini Leiva,32,84,Brazil,Lazio,71000,2022.0,768
135,M. Özil,Mesut Özil,30,84,Germany,Arsenal,125000,2021.0,375
136,Javi Martínez,Javier Martínez Aginaga,30,84,Spain,FC Bayern München,125000,2021.0,795
137,Y. Sommer,Yann Sommer,30,84,Switzerland,Borussia Mönchengladbach,37000,2021.0,327
138,E. Džeko,Edin Džeko,33,84,Bosnia Herzegovina,Roma,75000,2022.0,187
139,G. Wijnaldum,Georginio Wijnaldum,28,84,Netherlands,Liverpool,140000,2021.0,86
140,I. Perišić,Ivan Perišić,30,84,Croatia,FC Bayern München,135000,2020.0,928
141,M. Mandžukić,Mario Mandžukić,33,84,Croatia,Juventus,160000,2021.0,206
142,A. Vidal,Arturo Vidal,32,84,Chile,FC Barcelona,205000,2021.0,438
143,J. Boateng,Jérôme Boateng,30,84,Germany,FC Bayern München,125000,2021.0,153
144,Azpilicueta,César Azpilicueta Tanco,29,84,Spain,Chelsea,145000,2022.0,71
145,José Callejón,José María Callejón Bueno,32,84,Spain,Napoli,96000,2020.0,512
146,I. Gündoğan,İlkay Gündoğan,28,84,Germany,Manchester City,180000,2023.0,949
147,Paulinho,José Paulo Bezzera Maciel Júnior,30,84,Brazil,Guangzhou Evergrande Taobao FC,43000,2023.0,438
148,K. Walker,Kyle Walker,29,84,England,Manchester City,165000,2024.0,849
149,Canales,Sergio Canales Madrazo,28,84,Spain,Real Betis,44000,2022.0,542
150,Douglas Costa,Douglas Costa de Souza,28,84,Brazil,Juventus,155000,2022.0,402
151,Pizzi,Luís Miguel Afonso Fernandes,29,84,Portugal,SL Benfica,26000,2023.0,949
152,D. Tadić,Dušan Tadić,30,84,Serbia,Ajax,36000,2023.0,868
153,J. Iličić,Josip Iličić,31,84,Slovenia,Atalanta,92000,2021.0,942
154,R. Mahrez,Riyad Mahrez,28,84,Algeria,Manchester City,195000,2023.0,402
155,E. Višća,Edin Višća,29,84,Bosnia Herzegovina,Medipol Başakşehir FK,67000,2021.0,314
156,Felipe,Felipe Augusto de Almeida Monteiro,30,84,Brazil,Atlético Madrid,74000,2022.0,582
157,Fabián,Fabián Ruiz Peña,23,83,Spain,Napoli,76000,2023.0,942
158,A. Romagnoli,Alessio Romagnoli,24,83,Italy,Milan,46000,2022.0,613
159,G. Lo Celso,Giovani Lo Celso,23,83,Argentina,Tottenham Hotspur,105000,2020.0,160
160,T. Alexander-Arnold,Trent Alexander-Arnold,20,83,England,Liverpool,78000,2024.0,912
161,L. Jović,Luka Jović,21,83,Serbia,Real Madrid,155000,2024.0,31
162,A. Milik,Arkadiusz Milik,25,83,Poland,Napoli,91000,2021.0,840
163,A. Martial,Anthony Martial,23,83,France,Manchester United,140000,2024.0,139
164,Anderson Talisca,Anderson Souza Conceição,25,83,Brazil,Guangzhou Evergrande Taobao FC,38000,2022.0,868
165,J. Tah,Jonathan Tah,23,83,Germany,Bayer 04 Leverkusen,67000,2023.0,858
166,C. Tolisso,Corentin Tolisso,24,83,France,FC Bayern München,110000,2022.0,438
167,Pau López,Pau López Sabata,24,83,Spain,Roma,38000,2024.0,280
168,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,22,83,Portugal,Valencia CF,46000,2024.0,314
169,N. Pépé,Nicolas Pépé,24,83,Ivory Coast,Arsenal,97000,2024.0,868
170,M. Akanji,Manuel Obafemi Akanji,23,83,Switzerland,Borussia Dortmund,77000,2022.0,153
171,M. Rashford,Marcus Rashford,21,83,England,Manchester United,125000,2023.0,512
172,J. Stones,John Stones,25,83,England,Manchester City,140000,2022.0,153
173,A. Rabiot,Adrien Rabiot,24,83,France,Juventus,120000,2023.0,478
174,Grimaldo,Alejandro Grimaldo García,23,83,Spain,SL Benfica,18000,2021.0,575
175,T. Werner,Timo Werner,23,83,Germany,RB Leipzig,70000,2020.0,423
176,T. Lemar,Thomas Lemar,23,83,France,Atlético Madrid,64000,2023.0,105
177,D. Sánchez,Davinson Sánchez,23,83,Colombia,Tottenham Hotspur,93000,2024.0,582
178,Marco Asensio,Marco Asensio Willemsen,23,83,Spain,Real Madrid,180000,2023.0,868
179,L. Digne,Lucas Digne,25,83,France,Everton,97000,2023.0,482
180,J. Draxler,Julian Draxler,25,83,Germany,Paris Saint-Germain,100000,2021.0,139
181,J. Pickford,Jordan Pickford,25,83,England,Everton,78000,2024.0,280
182,Y. Carrasco,Yannick Ferreira Carrasco,25,83,Belgium,Dalian YiFang FC,23000,2021.0,136
183,Borja Iglesias,Borja Iglesias Quintas,26,83,Spain,Real Betis,41000,2024.0,619
184,K. Casteels,Koen Casteels,27,83,Belgium,VfL Wolfsburg,50000,2021.0,280
185,W. Zaha,Wilfried Zaha,26,83,Ivory Coast,Crystal Palace,89000,2023.0,916
186,Paco Alcácer,Francisco Alcácer García,25,83,Spain,Borussia Dortmund,105000,2023.0,826
187,Morata,Álvaro Borja Morata Martín,26,83,Spain,Atlético Madrid,80000,2020.0,534
188,S. Haller,Sébastien Haller,25,83,France,West Ham United,120000,2024.0,619
189,William Carvalho,William Silva de Carvalho,27,83,Portugal,Real Betis,35000,2023.0,568
190,F. Bernardeschi,Federico Bernardeschi,25,83,Italy,Juventus,130000,2022.0,542
191,D. Djené,Djené Dakonam Ortega,27,83,Togo,Getafe CF,35000,2021.0,113
192,Oscar,Oscar dos Santos Emboaba Júnior,27,83,Brazil,Shanghai SIPG FC,29000,2020.0,334
193,K. Trapp,Kevin Trapp,28,83,Germany,Eintracht Frankfurt,42000,2024.0,806
194,Bartra,Marc Bartra Aregall,28,83,Spain,Real Betis,36000,2023.0,966
195,Pablo Sarabia,Pablo Sarabia García,27,83,Spain,Paris Saint-Germain,105000,2024.0,276
196,J. Cillessen,Jasper Cillessen,30,83,Netherlands,Valencia CF,39000,2023.0,806
197,Lucas Moura,Lucas Rodrigues M. Silva,26,83,Brazil,Tottenham Hotspur,130000,2024.0,917
198,F. Thauvin,Florian Thauvin,26,83,France,Olympique de Marseille,60000,2021.0,868
199,Jorginho,Luiz Frello Filho Jorge,27,83,Italy,Chelsea,140000,2023.0,768
200,G. Buffon,Gianluigi Buffon,41,83,Italy,Juventus,58000,2024.0,462
201,Casillas,Iker Casillas Fernández,38,83,Spain,FC Porto,11000,2020.0,280
202,R. Jarstein,Rune  Almenning Jarstein,34,83,Norway,Hertha BSC,33000,2021.0,806
203,V. Kompany,Vincent Kompany,33,83,Belgium,RSC Anderlecht,31000,2022.0,396
204,Raúl Albiol,Raúl Albiol Tortajada,33,83,Spain,Villarreal CF,45000,2022.0,991
205,F. Quagliarella,Fabio Quagliarella,36,83,Italy,Sampdoria,46000,2020.0,139
206,K. Schmeichel,Kasper Schmeichel,32,83,Denmark,Leicester City,82000,2023.0,806
207,Falcao,Radamel Falcao García Zárate,33,83,Colombia,AS Monaco,64000,2020.0,547
208,Miranda,João Miranda de Souza Filho,34,83,Brazil,Jiangsu Suning FC,32000,2024.0,176
209,C. Vela,Carlos Alberto Vela Garrido,30,83,Mexico,Los Angeles FC,17000,2022.0,868
210,E. Garay,Ezequiel Marcelo Garay,32,83,Argentina,Valencia CF,48000,2020.0,396
211,Rui Patrício,Rui Pedro dos Santos Patrício,31,83,Portugal,Wolverhampton Wanderers,82000,2022.0,280
212,R. Nainggolan,Radja Nainggolan,31,83,Belgium,Cagliari,51000,2020.0,527
213,E. Banega,Éver Maximiliano David Banega,31,83,Argentina,Sevilla FC,26000,2020.0,136
214,Diego Costa,Diego da Silva Costa,30,83,Spain,Atlético Madrid,80000,2021.0,619
215,S. Khedira,Sami Khedira,32,83,Germany,Juventus,135000,2021.0,568
216,David Luiz,David Luiz Moreira Marinho,32,83,Brazil,Arsenal,105000,2021.0,153
217,M. Kruse,Max Kruse,31,83,Germany,Fenerbahçe SK,105000,2022.0,868
218,J. Henderson,Jordan Brian Henderson,29,83,England,Liverpool,115000,2020.0,438
219,G. Sigurðsson,Gylfi Þór Sigurðsson,29,83,Iceland,Everton,120000,2022.0,949
220,A. Ramsey,Aaron Ramsey,28,83,Wales,Juventus,140000,2023.0,527
221,Illarramendi,Asier Illarramendi Andonegi,29,83,Spain,Real Sociedad,42000,2023.0,768
222,D. Blind,Daley Blind,29,83,Netherlands,Ajax,31000,2022.0,292
223,L. Hrádecký,Lukáš Hrádecký,29,83,Finland,Bayer 04 Leverkusen,67000,2023.0,612
224,N. Otamendi,Nicolás Hernán Otamendi,31,83,Argentina,Manchester City,145000,2022.0,113
225,J. Cuadrado,Juan Cuadrado,31,83,Colombia,Juventus,135000,2020.0,512
226,I. Gueye,Idrissa Gana Gueye,29,83,Senegal,Paris Saint-Germain,100000,2023.0,971
227,K. Kampl,Kevin Kampl,28,83,Slovenia,RB Leipzig,77000,2021.0,9
228,Rodrigo,Rodrigo Moreno Machado,28,83,Spain,Valencia CF,60000,2022.0,868
229,C. Aránguiz,Charles Mariano Aránguiz Sandoval,30,83,Chile,Bayer 04 Leverkusen,86000,2020.0,320
230,W. Ben Yedder,Wissam Ben Yedder,28,83,France,AS Monaco,67000,2024.0,547
231,F. Acerbi,Francesco Acerbi,31,83,Italy,Lazio,64000,2023.0,842
232,Danilo Pereira,Danilo Luís Hélio Pereira,27,83,Portugal,FC Porto,21000,2022.0,689
233,A. Kramarić,Andrej Kramarić,28,83,Croatia,TSG 1899 Hoffenheim,61000,2022.0,31
234,Louri Beretta,Lourival Adnan Beretta Barbosa,27,83,Brazil,Atlético Mineiro,60000,2022.0,619
235,Josué Chiamulera,Josué Durval Chiamulera Vaz,27,83,Brazil,Grêmio,43000,2022.0,697
236,Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,27,83,Brazil,Grêmio,51000,2022.0,314
237,Oyarzabal,Mikel Oyarzabal Ugarte,22,82,Spain,Real Sociedad,39000,2024.0,453
238,L. Bailey,Leon Bailey Butler,21,82,Jamaica,Bayer 04 Leverkusen,65000,2023.0,630
239,Gabriel Jesus,Gabriel Fernando de Jesus,22,82,Brazil,Manchester City,140000,2023.0,512
240,M. Kovačić,Mateo Kovačić,25,82,Croatia,Chelsea,125000,2024.0,136
241,A. Belotti,Andrea Belotti,25,82,Italy,Torino,63000,2021.0,727
242,T. Strakosha,Thomas Strakosha,24,82,Albania,Lazio,39000,2023.0,462
243,N. Keïta,Naby Keïta,24,82,Guinea,Liverpool,95000,2023.0,136
244,L. Torreira,Lucas Torreira Di Pascua,23,82,Uruguay,Arsenal,80000,2023.0,768
245,Rúben Neves,Rúben Diogo da Silva Neves,22,82,Portugal,Wolverhampton Wanderers,89000,2023.0,86
246,P. Kimpembe,Presnel Kimpembe,23,82,France,Paris Saint-Germain,75000,2023.0,811
247,S. Bergwijn,Steven Bergwijn,21,82,Netherlands,PSV,22000,2023.0,139
248,A. Onana,André Onana,23,82,Cameroon,Ajax,18000,2022.0,806
249,Nélson Semedo,Nélson Cabral Semedo,25,82,Portugal,FC Barcelona,150000,2022.0,912
250,A. Areola,Alphonse Areola,26,82,France,Paris Saint-Germain,71000,2023.0,806
251,M. Perin,Mattia Perin,26,82,Italy,Juventus,90000,2022.0,612
252,D. Rugani,Daniele Rugani,24,82,Italy,Juventus,95000,2023.0,991
253,A. Correa,Ángel Correa,24,82,Argentina,Atlético Madrid,59000,2024.0,314
254,Iñaki Williams,Iñaki Williams Arthuer,25,82,Spain,Athletic Club de Bilbao,36000,2025.0,512
255,H. Lozano,Hirving Rodrigo Lozano Bahena,23,82,Mexico,PSV,26000,2023.0,916
256,Gelson Martins,Gelson Dany Batalha Martins,24,82,Portugal,AS Monaco,47000,2024.0,916
257,B. Lecomte,Benjamin Lecomte,28,82,France,AS Monaco,42000,2024.0,111
258,T. Partey,Thomas Partey,26,82,Ghana,Atlético Madrid,68000,2023.0,689
259,K. Demirbay,Kerem Demirbay,25,82,Germany,Bayer 04 Leverkusen,75000,2024.0,942
260,J. Matip,Joël Andre Job Matip,27,82,Cameroon,Liverpool,99000,2020.0,153
261,Suso,Jesús Joaquín Fernández Sáez,25,82,Spain,Milan,56000,2022.0,402
262,S. Savić,Stefan Savić,28,82,Montenegro,Atlético Madrid,65000,2020.0,582
263,A. Rüdiger,Antonio Rüdiger,26,82,Germany,Chelsea,115000,2022.0,176
264,Pacheco,Fernando Pacheco Flores,27,82,Spain,Deportivo Alavés,27000,2023.0,280
265,Ricardo Pereira,Ricardo Barbosa Pereira,25,82,Portugal,Leicester City,89000,2023.0,9
266,N. Tagliafico,Nicolás Alejandro Tagliafico,26,82,Argentina,Ajax,27000,2022.0,482
267,David Soria,David Soria Solís,26,82,Spain,Getafe CF,26000,2022.0,806
268,Sergio Asenjo,Sergio  Asenjo Andrés,30,82,Spain,Villarreal CF,33000,2022.0,806
269,Muniain,Iker Muniain Goñi,26,82,Spain,Athletic Club de Bilbao,35000,2024.0,487
270,M. Götze,Mario Götze,27,82,Germany,Borussia Dortmund,98000,2020.0,949
271,T. Delaney,Thomas Delaney,27,82,Denmark,Borussia Dortmund,82000,2022.0,94
272,O. Baumann,Oliver Baumann,29,82,Germany,TSG 1899 Hoffenheim,39000,2021.0,462
273,Willian José,Willian José da Silva,27,82,Brazil,Real Sociedad,44000,2024.0,187
274,Sergi Roberto,Sergio Roberto Carnicer,27,82,Spain,FC Barcelona,155000,2022.0,136
275,N. Schulz,Nico Schulz,26,82,Germany,Borussia Dortmund,82000,2024.0,478
276,K. Volland,Kevin Volland,26,82,Germany,Bayer 04 Leverkusen,85000,2021.0,277
277,Nacho Fernández,José Ignacio Fernández Iglesias,29,82,Spain,Real Madrid,165000,2021.0,173
278,Gabriel Paulista,Gabriel Armando de Abreu,28,82,Brazil,Valencia CF,46000,2022.0,176
279,J. Roussillon,Jérôme Roussillon,26,82,France,VfL Wolfsburg,56000,2023.0,482
280,H. Maguire,Harry Maguire,26,82,England,Manchester United,125000,2024.0,153
281,T. Hazard,Thorgan Hazard,26,82,Belgium,Borussia Dortmund,90000,2024.0,136
282,E. Forsberg,Emil Forsberg,27,82,Sweden,RB Leipzig,67000,2022.0,290
283,F. Kostić,Filip Kostić,26,82,Serbia,Eintracht Frankfurt,49000,2023.0,478
284,M. Politano,Matteo Politano,25,82,Italy,Inter,77000,2023.0,276
285,Rafa,Rafael Alexandre Fernandes Ferreira da Silva,26,82,Portugal,SL Benfica,21000,2024.0,334
286,Pepe Reina,José Manuel  Reina Páez,36,82,Spain,Milan,26000,2021.0,806
287,D. De Rossi,Daniele De Rossi,35,82,Italy,Boca Juniors,23000,2020.0,568
288,Aduriz,Aritz Aduriz Zubeldia,38,82,Spain,Athletic Club de Bilbao,29000,2020.0,619
289,Jesús Navas,Jesús Navas González,33,82,Spain,Sevilla FC,26000,2021.0,334
290,Santi Cazorla,Santiago Cazorla González,34,82,Spain,Villarreal CF,45000,2020.0,290
291,H. Herrera,Héctor Miguel Herrera López,29,82,Mexico,Atlético Madrid,70000,2022.0,438
292,L. Biglia,Lucas Rodrigo Biglia,33,82,Argentina,Milan,49000,2020.0,320
293,L. Fabiański,Łukasz Fabiański,34,82,Poland,West Ham United,75000,2021.0,462
294,E. Viviano,Emiliano Viviano,33,82,Italy,Sporting CP,15000,2020.0,280
